Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u
D:\urban\sg500\1\01.bmp;0;155.644;167.379;165.097;1096;1052;955;835;726;632;430;226;115;112;15;13;0;0;0;0;0;0;0;168.986;180;10.9797;15.5526;10;7;5;0;0;0;0;0;8;3745;91;0;0;18;3597;229;0;0;0;3470;374;0;0;758;2876;210;0;0
D:\urban\sg500\1\01.bmp;1;155.541;166.604;164.475;1105;1058;965;877;744;598;349;222;117;97;25;24;3;3;3;0;0;0;0;169.229;180;11.2451;15.5726;5;5;3;0;0;0;0;0;30;3753;61;0;0;59;3654;131;0;0;0;3564;280;0;0;447;3177;220;0;0
D:\urban\sg500\1\01.bmp;2;154.978;166.957;164.364;1068;1026;899;779;615;527;302;263;152;127;58;19;0;0;0;0;0;0;0;167.416;180;10.9694;16.6949;5;3;1;0;0;0;0;0;22;3756;66;0;0;63;3657;124;0;0;0;3564;280;0;0;452;3163;229;0;0
D:\urban\sg500\1\01.bmp;3;155.369;167.214;164.132;1083;954;806;752;639;515;348;266;192;151;37;18;18;2;2;0;0;0;0;164.308;180;11.0838;19.2133;11;6;3;0;0;0;0;0;40;3791;13;0;0;61;3720;63;0;0;3;3625;216;0;0;502;3273;69;0;0
D:\urban\sg500\1\01.bmp;4;153.173;166.555;162.939;952;885;659;530;333;260;126;92;23;8;8;8;8;0;0;0;0;0;0;163.688;160;8.53047;9.29388;3;1;1;0;0;0;0;0;43;3764;37;0;0;56;3693;95;0;0;12;3588;244;0;0;495;3210;139;0;0
D:\urban\sg500\1\01.bmp;5;153.007;165.77;162.408;1027;964;806;668;407;225;88;63;61;56;0;0;0;0;0;0;0;0;0;164.338;160;9.48598;10.4309;0;0;0;0;0;0;0;0;1;3734;109;0;0;7;3624;213;0;0;0;3573;271;0;0;469;3217;158;0;0
D:\urban\sg500\1\01.bmp;6;139.846;150.859;148.017;1038;950;746;649;464;359;300;231;157;157;138;132;50;0;0;0;0;0;0;156.853;180;40.1703;46.7919;1;1;1;0;0;0;0;0;114;2845;816;28;41;64;2624;1114;25;17;18;2590;1219;3;14;551;2106;1187;0;0
D:\urban\sg500\1\01.bmp;7;111.332;112.455;109.447;860;748;600;478;350;263;191;108;108;100;96;92;52;51;44;32;31;31;10;89.7024;30;72.5485;86.6811;1;1;1;1;1;1;0;0;169;515;1408;0;1752;101;333;1857;0;1553;2;286;2336;0;1220;100;112;3632;0;0
D:\urban\sg500\1\01.bmp;8;103.649;101.273;97.7505;866;741;574;351;310;302;284;275;268;246;241;241;239;211;194;193;192;191;163;59.5692;60;52.6155;52.71;6;3;2;2;2;2;0;0;644;199;1642;86;1273;673;146;1988;0;1037;393;24;2501;0;926;121;0;3723;0;0
D:\urban\sg500\1\01.bmp;9;93.7921;91.8881;89.2367;908;869;691;578;526;493;454;445;375;358;341;340;316;295;267;261;258;252;240;80.077;30;74.0338;76.5845;6;5;2;1;1;1;411;0;951;231;1260;247;1155;1105;232;1529;79;899;797;275;2090;0;682;806;76;2789;0;173
