Picture_name;Cells_where_building_label=2;Cells_where_vegetation_label=2;Cells_where_road_label=1;Avg_building_labels;Avg_vegetation_labels;PCA_value;Location_name
D:\urban\sg500\1\01.bmp;4;54;39;0.41;1.36;0.678169;Agard_Chernel_madarvarta
D:\urban\sg500\2\01.bmp;0;100;12;0.04;2;-2.02543;Agostyan_Agoston_liget
D:\urban\sg500\3\01.bmp;32;34;62;1.13;1.23;3.14547;Alsonemedi_Fo_u42
D:\urban\sg500\4\01.bmp;0;100;0;0;2;-2.25534;Balatonfuzfo_Lozsanta
D:\urban\sg500\5\01.bmp;2;89;33;0.24;1.88;-1.05454;Budakeszi_Vadaspark
D:\urban\sg500\6\01.bmp;4;52;74;1.01;1.52;1.64388;Budapest_II_Pesthidegkut
D:\urban\sg500\7\01.bmp;44;29;77;1.38;1.09;4.28597;Budapest_III_Obuda
D:\urban\sg500\8\01.bmp;8;90;14;0.22;1.87;-1.20307;Budapest_IV_Farkaserdo
D:\urban\sg500\9\01.bmp;23;60;53;0.68;1.51;1.39453;Budapest_IV_Ujpesti_Homoktovis_TT
D:\urban\sg500\10\01.bmp;7;88;56;0.7;1.88;-0.0551585;Budapest_XII_Libego
D:\urban\sg500\11\01.bmp;57;13;90;1.54;0.95;5.52711;Budapest_XIII_Ambrus_u6
D:\urban\sg500\12\01.bmp;0;78;0;0;1.6;-1.26249;Budapest_XVI_Naplas_to
D:\urban\sg500\13\01.bmp;46;16;66;1.36;1.16;4.27705;Budapest_XVI_Sarkad_u19
D:\urban\sg500\14\01.bmp;2;88;3;0.23;1.86;-1.4884;Csakvar_Csikvarsai_ret
D:\urban\sg500\15\01.bmp;9;70;21;0.54;1.6;0.0286784;Csakvar_Geszner_park
D:\urban\sg500\16\01.bmp;0;100;0;0;2;-2.25534;Csaszartoltes_Vorosmocsar_CES
D:\urban\sg500\17\01.bmp;0;100;0;0.08;2;-2.17263;Debrecen_Bank
D:\urban\sg500\18\01.bmp;8;72;56;0.6;1.71;0.410937;Debrecen_Botanikus_kert
D:\urban\sg500\19\01.bmp;0;100;0;0.03;2;-2.22432;Eger_Toviskes_volgy
D:\urban\sg500\20\01.bmp;6;86;31;0.46;1.85;-0.644309;Dinnyes_Rozsa_u
D:\urban\sg500\21\01.bmp;1;69;38;0.64;1.69;0.0505584;Ersekvadkert_Honved_u17
D:\urban\sg500\22\01.bmp;0;92;27;0.34;1.92;-1.21682;Godollo_Botanikus_kert
D:\urban\sg500\23\01.bmp;1;74;35;0.38;1.71;-0.384569;Komarom_Koppanymonostor
D:\urban\sg500\24\01.bmp;0;100;0;0.12;2;-2.13128;Debrecen_Nagycsere
D:\urban\sg500\25\01.bmp;6;88;58;0.88;1.88;0.133436;Dinnyes_Ady_u
D:\urban\sg500\26\01.bmp;8;87;49;0.4;1.86;-0.398517;Pannonhalma_arboretum
D:\urban\sg500\27\01.bmp;0;99;25;0.28;1.99;-1.5402;Pecs_Domorkapu
D:\urban\sg500\28\01.bmp;21;36;79;1.19;1.36;2.92569;Pecs_Kaposvari_u29.
D:\urban\sg500\29\01.bmp;0;92;13;0.19;1.92;-1.59187;Pecs_Gesztenyesi_u29.
D:\urban\sg500\30\01.bmp;9;85;28;0.45;1.85;-0.597198;Pilismarot_DozsaGy_u42
